dateTime,temperature,pressure,humidity,gas
2022-03-25 19:09:32.188769,27.38,98.88,13.89,6573.00
2022-03-25 19:09:42.202964,27.42,98.88,14.01,6497.58
2022-03-25 19:09:52.232753,27.45,98.88,14.07,6404.76
2022-03-25 19:10:02.247157,27.44,98.88,14.02,6400.95
2022-03-25 19:10:12.261359,27.57,98.88,14.45,6408.58
2022-03-25 19:10:22.290895,27.56,98.88,14.19,6318.26
2022-03-25 19:10:32.305037,27.57,98.88,14.08,6366.86
2022-03-25 19:10:42.334523,27.54,98.88,13.95,6292.40
2022-03-25 19:10:52.348669,27.55,98.88,13.82,6329.41
2022-03-25 19:11:02.362698,27.58,98.88,13.91,6381.97
2022-03-25 19:11:12.392191,27.59,98.88,13.85,6381.97
2022-03-25 19:11:22.406269,27.63,98.88,13.87,6355.58
2022-03-25 19:11:32.420598,27.66,98.88,13.92,6370.63
2022-03-25 19:11:42.449982,27.69,98.88,13.95,6252.18
2022-03-25 19:11:52.464497,27.73,98.88,14.01,6303.46
2022-03-25 19:12:02.478549,27.77,98.88,14.00,6288.72
2022-03-25 19:12:12.507283,27.78,98.87,14.01,6219.65
2022-03-25 19:12:22.521315,27.82,98.88,14.14,6223.25
2022-03-25 19:12:32.535480,27.84,98.88,14.21,6155.61
2022-03-25 19:12:42.564836,27.84,98.87,14.15,6208.89
2022-03-25 19:12:52.579039,27.84,98.88,14.11,6173.26
2022-03-25 19:13:02.593525,27.78,98.87,13.84,6244.92
2022-03-25 19:13:12.623126,27.76,98.87,13.82,6266.74
2022-03-25 19:13:22.637466,27.83,98.88,14.52,6234.07
2022-03-25 19:13:32.651841,27.83,98.88,14.26,6194.59
2022-03-25 19:13:42.681647,27.82,98.88,14.12,6223.25
2022-03-25 19:13:52.696187,27.84,98.88,13.93,6230.46
2022-03-25 19:14:02.710481,27.82,98.88,13.89,6226.85
2022-03-25 19:14:12.739506,27.77,98.88,13.73,6219.65
2022-03-25 19:14:22.753787,27.74,98.88,13.74,6292.40
2022-03-25 19:14:32.783420,27.77,98.88,13.75,6285.05
2022-03-25 19:14:42.797944,27.61,98.87,13.55,6325.69
2022-03-25 19:14:52.812149,27.63,98.87,13.91,6252.18
2022-03-25 19:15:02.841453,27.63,98.87,13.98,6344.34
2022-03-25 19:15:12.855550,27.62,98.87,14.09,6340.60
2022-03-25 19:15:22.869931,27.61,98.87,13.90,6274.05
2022-03-25 19:15:32.899094,27.63,98.87,13.98,6303.46
2022-03-25 19:15:42.913356,27.70,98.87,14.17,6296.08
2022-03-25 19:15:52.927850,27.79,98.87,14.46,6212.47
2022-03-25 19:16:02.957459,27.89,98.87,14.46,6212.47
2022-03-25 19:16:12.971304,27.97,98.87,14.65,6124.08
2022-03-25 19:16:22.985507,28.00,98.87,14.47,6106.70
2022-03-25 19:16:33.014815,27.99,98.87,14.32,6004.46
2022-03-25 19:16:43.029240,27.94,98.88,14.10,6120.59
2022-03-25 19:16:53.059029,27.85,98.88,13.67,6173.26
2022-03-25 19:17:03.073057,27.80,98.87,13.63,6187.46
2022-03-25 19:17:13.087153,27.76,98.87,13.83,6223.25
2022-03-25 19:17:23.116833,27.79,98.87,13.83,6230.46
2022-03-25 19:17:33.131200,27.83,98.87,14.03,6134.55
2022-03-25 19:17:43.145487,27.85,98.87,14.07,6120.59
2022-03-25 19:17:53.175305,27.89,98.87,14.36,6134.55
2022-03-25 19:18:03.189362,27.92,98.87,14.17,6152.09
2022-03-25 19:18:13.203150,27.96,98.87,14.11,6141.55
2022-03-25 19:18:23.232884,28.00,98.87,14.18,6089.42
2022-03-25 19:18:33.246990,28.04,98.87,14.23,6011.17
2022-03-25 19:18:43.261666,28.09,98.87,14.27,5984.43
2022-03-25 19:18:53.291049,28.13,98.86,14.20,5984.43
2022-03-25 19:19:03.305358,28.19,98.86,14.44,5899.12
2022-03-25 19:19:13.319745,28.26,98.87,14.77,5964.52
2022-03-25 19:19:23.349435,28.24,98.87,14.45,5879.78
2022-03-25 19:19:33.363873,28.23,98.87,14.31,5854.19
2022-03-25 19:19:43.378272,28.15,98.87,13.86,5912.09
2022-03-25 19:19:53.407884,28.13,98.87,13.61,5991.09
2022-03-25 19:20:03.422323,28.02,98.87,13.31,6096.32
2022-03-25 19:20:13.435569,27.94,98.87,13.46,6155.61
2022-03-25 19:20:23.464704,27.92,98.87,13.62,6166.19
2022-03-25 19:20:33.478944,27.97,98.87,13.84,6134.55
2022-03-25 19:20:43.493230,27.99,98.86,13.90,6173.26
2022-03-25 19:20:53.522862,28.00,98.86,13.96,6219.65
2022-03-25 19:21:03.537325,28.03,98.86,14.23,6096.32
2022-03-25 19:21:13.566920,28.08,98.86,14.40,6031.39
2022-03-25 19:21:23.581130,27.97,98.86,13.84,6089.42
2022-03-25 19:21:33.595435,27.97,98.86,13.79,6173.26
2022-03-25 19:21:43.624961,28.02,98.86,14.08,6099.77
2022-03-25 19:21:53.639396,28.09,98.86,14.31,6031.39
2022-03-25 19:22:03.653524,28.20,98.86,14.85,5997.77
