dateTime,temperature,pressure,humidity,gas
2022-03-25 19:09:34.156340,25.20,99.44,13.17,3118.84
2022-03-25 19:09:44.302755,25.23,99.45,13.18,3086.63
2022-03-25 19:09:54.464662,25.26,99.45,13.18,3126.09
2022-03-25 19:10:04.626406,25.28,99.44,13.22,3109.83
2022-03-25 19:10:14.772726,25.30,99.45,13.23,3102.65
2022-03-25 19:10:24.934407,25.30,99.45,13.16,3144.36
2022-03-25 19:10:35.080944,25.32,99.44,13.18,3140.69
2022-03-25 19:10:45.242340,25.31,99.44,13.19,3135.20
2022-03-25 19:10:55.404042,25.32,99.45,13.19,3088.40
2022-03-25 19:11:05.550632,25.32,99.44,13.24,3086.63
2022-03-25 19:11:15.712061,25.29,99.44,13.20,3099.08
2022-03-25 19:11:25.858645,25.27,99.44,13.13,3157.28
2022-03-25 19:11:36.020113,25.29,99.44,13.19,3148.04
2022-03-25 19:11:46.181652,25.31,99.44,13.23,3129.73
2022-03-25 19:11:56.327941,25.31,99.44,13.37,3120.65
2022-03-25 19:12:06.489620,25.34,99.44,13.59,3086.63
2022-03-25 19:12:16.635907,25.35,99.44,13.56,3135.20
2022-03-25 19:12:26.797562,25.37,99.44,13.47,3146.20
2022-03-25 19:12:36.943927,25.37,99.44,13.46,3144.36
2022-03-25 19:12:47.105582,25.40,99.44,13.47,3104.44
2022-03-25 19:12:57.267359,25.41,99.44,13.49,3097.29
2022-03-25 19:13:07.413678,25.43,99.44,13.37,3131.55
2022-03-25 19:13:17.575398,25.43,99.44,13.37,3162.84
2022-03-25 19:13:27.721681,25.44,99.44,13.47,3149.88
2022-03-25 19:13:37.883451,25.45,99.44,13.52,3117.03
2022-03-25 19:13:48.045147,25.46,99.44,13.60,3100.86
2022-03-25 19:13:58.191484,25.47,99.45,13.66,3074.29
2022-03-25 19:14:08.353180,25.47,99.45,13.74,3053.35
2022-03-25 19:14:18.499553,25.44,99.44,13.66,3106.24
2022-03-25 19:14:28.661181,25.45,99.45,13.70,3122.46
2022-03-25 19:14:38.823013,25.43,99.44,13.60,3149.88
2022-03-25 19:14:48.969332,25.40,99.44,13.45,3215.78
2022-03-25 19:14:59.131026,25.38,99.44,13.37,3282.49
2022-03-25 19:15:09.277351,25.35,99.44,13.29,3329.21
2022-03-25 19:15:19.438980,25.35,99.44,13.29,3347.85
2022-03-25 19:15:29.600775,25.35,99.44,13.42,3306.70
2022-03-25 19:15:39.746959,25.34,99.44,13.49,3300.61
2022-03-25 19:15:49.908788,25.33,99.44,13.48,3290.52
2022-03-25 19:16:00.054957,25.31,99.44,13.25,3375.16
2022-03-25 19:16:10.216640,25.30,99.44,13.19,3462.03
2022-03-25 19:16:20.362985,25.30,99.44,13.07,3520.94
2022-03-25 19:16:30.524672,25.30,99.44,13.00,3570.01
2022-03-25 19:16:40.686438,25.29,99.44,13.02,3596.26
2022-03-25 19:16:50.832795,25.29,99.44,13.02,3618.02
2022-03-25 19:17:00.994553,25.29,99.44,13.07,3605.90
2022-03-25 19:17:11.141091,25.30,99.44,13.10,3625.34
2022-03-25 19:17:21.302784,25.30,99.44,13.09,3627.78
2022-03-25 19:17:31.464281,25.31,99.44,13.20,3593.85
2022-03-25 19:17:41.610831,25.31,99.43,13.41,3525.56
2022-03-25 19:17:51.772424,25.31,99.43,13.35,3534.82
2022-03-25 19:18:01.918985,25.31,99.43,13.22,3541.80
2022-03-25 19:18:12.080520,25.31,99.43,13.13,3562.91
2022-03-25 19:18:22.242135,25.30,99.43,13.06,3608.32
2022-03-25 19:18:32.388678,25.29,99.43,13.06,3652.41
2022-03-25 19:18:42.550220,25.28,99.43,13.08,3635.14
2022-03-25 19:18:52.696367,25.23,99.43,13.08,3630.23
2022-03-25 19:19:02.857970,25.18,99.43,13.06,3657.38
2022-03-25 19:19:13.019652,25.15,99.43,13.02,3677.38
