dateTime,Temperature,Pressure,Humidity
2022-03-25 19:31:55.219700,30.799999237060547,992.4500122070312,14.0
2022-03-25 19:34:02.283256,31.190000534057617,992.4400024414062,10.0
2022-03-25 19:40:51.467835,31.610000610351562,992.3900146484375,12.0
2022-03-25 19:42:58.516033,31.579999923706055,992.3599853515625,10.0
2022-03-25 20:01:28.002623,32.880001068115234,992.239990234375,11.0
2022-03-25 20:03:35.043196,32.5099983215332,992.219970703125,9.0
2022-03-25 20:09:06.276168,29.520000457763672,992.0999755859375,12.0
2022-03-25 20:11:13.326665,28.739999771118164,992.030029296875,11.0
2022-03-25 20:20:59.525860,29.8700008392334,991.9199829101562,13.0
2022-03-25 20:23:51.658714,28.31999969482422,991.8699951171875,12.0
2022-03-25 20:25:58.704755,29.260000228881836,991.7999877929688,11.0
2022-03-25 20:31:41.918498,29.549999237060547,991.739990234375,10.0
2022-03-25 20:33:48.973434,30.100000381469727,991.6500244140625,11.0
2022-03-25 20:39:15.161559,31.110000610351562,991.5399780273438,10.0
2022-03-25 20:41:22.215856,31.510000228881836,991.5499877929688,10.0
