dateTime,Temperature,Pressure,Humidity
2022-03-25 19:22:11.103080,29.760000228881836,993.030029296875,10.0
2022-03-25 19:26:57.138890,29.889999389648438,993.010009765625,12.0
2022-03-25 19:29:04.197326,29.790000915527344,993.0,11.0
2022-03-25 19:46:52.206393,29.739999771118164,992.780029296875,11.0
2022-03-25 19:48:59.263951,29.93000030517578,992.739990234375,11.0
2022-03-25 19:57:56.777226,30.479999542236328,992.75,13.0
2022-03-25 20:00:03.818756,30.1299991607666,992.760009765625,12.0
2022-03-25 20:10:02.295721,29.610000610351562,992.5599975585938,11.0
2022-03-25 20:12:09.335328,29.299999237060547,992.469970703125,11.0
2022-03-25 20:19:16.773792,29.3799991607666,992.4299926757812,11.0
2022-03-25 20:21:23.827896,29.940000534057617,992.3800048828125,11.0
2022-03-25 20:29:30.401667,28.8700008392334,992.27001953125,12.0
2022-03-25 20:31:37.457839,29.479999542236328,992.260009765625,11.0
2022-03-25 20:40:07.121656,30.65999984741211,992.0399780273438,11.0
2022-03-25 20:42:14.167682,31.270000457763672,992.0399780273438,10.0
